"Power Name"
"Category:Power Sources"
"Category:Powers by Level"
"Category:Powers by theme"
"Category:Powers by type"
"Superpowers"
"0th-Dimension Physiology"
"2D Interaction"
"Fanon:2D Physiology"
"360-Degree Neck Rotation"
"360-Degree Senses"
"Fanon:360-Degree Step"
"360-Degree Torso Rotation"
"360-Degree Vision"
"3D Activity"
"3D Inducement"
"Fanon:3D Outlining"
"3D Vision"
"4th Wall Awareness"
"4th Wall Breaching"
"4th Wall Creation"
"4th Wall Interaction"
"4th Wall Manipulation"
"4th-Dimensional Access"
"4th-Dimensional Movement"
"4th-Dimensional Physiology"
"4th-Dimensional Vision"
"5th-Dimensional Physiology"
"Abacomancy"
"Abada Physiology"
"Abaia Physiology"
"Abarimon Physiology"
"Abasy Physiology"
"Abdomen Manipulation"
"Ability Adoption"
"Ability Focus"
"Ability Imprinting"
"Ability Indexing"
"Ability Information Archiving"
"Ability Intuition"
"Ability Learning"
"Ability Mastering"
"Ability Recharging"
"Ability Rigging"
"Ability Teaching"
"Ability Tier Activation"
"Ability Transcendence"
"Abjuration"
"Abnormal Digestive Waste Generation"
"Abnormal Embodiment"
"Abnormal Movement"
"Abnormal Weather"
"Abolishment"
"Abomination Manipulation"
"Absence Manipulation"
"Absent Energy Manipulation"
"Absolute Absorption"
"Absolute Access"
"Absolute Army Manipulation"
"Absolute Arts"
"Absolute Banishment"
"Absolute Bio-Energetic Sourcing"
"Absolute Bomb Generation"
"Absolute Buying"
"Absolute Change"
"Absolute Character Creation"
"Absolute Character Erasure"
"Absolute Chi"
"Absolute Command"
"Absolute Constant Rest"
"Absolute Constant Velocity"
"Absolute Contract"
"Absolute Cosmic Absorption"
"Absolute Counter"
"Absolute Crafting"
"Absolute Darkness"
"Absolute Death Inducement"
"Absolute Death Manipulation"
"Absolute Decay"
"Absolute Destruction"
"Fanon:Absolute Directionality"
"Absolute Domination"
"Absolute Electricity Absorption"
"Absolute Electromagnetic Absorption"
"Absolute Embodiment"
"Absolute Emotions"
"Absolute Energy Absorption"
"Absolute Erasure"
"Absolute Escape"
"Absolute Event Manipulation"
"Absolute Explosion"
"Fanon:Absolute Expulsion"
"Absolute Filtration"
"Absolute Fusion"
"Absolute Gamma Absorption"
"Absolute Growth Inducement"
"Absolute Heat Absorption"
"Absolute Hot Inducement"
"Absolute Illusion"
"Absolute Immunity Bypassing"
"Absolute Insanity Inducement"
"Absolute Ionic Absorption"
"Absolute Kinetic Absorption"
"Absolute Law Manipulation"
"Absolute Learning"
"Absolute Life Creation"
"Absolute Life Inducement"
"Absolute Life Manipulation"
"Absolute Life-Force Manipulation"
"Absolute Light"
"Absolute Light Absorption"
"Absolute Lock Manipulation"
"Absolute Manipulation"
"Fanon:Absolute Melting"
"Fanon:Absolute Mobility"
"Absolute Music Manipulation"
"Absolute Nuclear Absorption"
"Absolute Perspective Manipulation"
"Absolute Physical Law Manipulation"
"Absolute Piercing"
"Absolute Power Derivation"
"Absolute Quantum Absorption"
"Absolute Radiation Absorption"
"Absolute Ranged Weaponry"
"Absolute Recreation"
"Absolute Restoration"
"Fanon:Absolute Revolution"
"Fanon:Absolute Rotation"
"Absolute Separation"
"Absolute Setting Creation"
"Absolute Shield Construction"
"Absolute Silence Manipulation"
"Absolute Slicing"
"Absolute Solar Absorption"
"Absolute Soul Manipulation"
"Absolute Sound Absorption"
"Absolute Sound Manipulation"
"Absolute Speed Flight"
"Absolute Spirituality"
"Absolute Stellar Absorption"
"Absolute Stench"
"Absolute Storage"
"Fanon:Absolute Stride"
"Absolute Summoning"
"Absolute Superpower Opposition"
"Absolute Technology Manipulation"
"Absolute Thermic Absorption"
"Absolute Transmutation"
"Fanon:Absolute Turning"
"Absolute Unpredictability"
"Absolute Variable Manipulation"
